feature,coefficient,abs_coefficient
stellar_logg_cgs,0.3559011255370928,0.3559011255370928
planet_radius_rearth,-0.07078109471332171,0.07078109471332171
stellar_radius_rsun,-0.06309353601711096,0.06309353601711096
orbital_period_days,-0.004711479863939947,0.004711479863939947
transit_duration_hr,-0.004230607133932199,0.004230607133932199
equilibrium_temp_k,-0.0006136254973862664,0.0006136254973862664
magnitude,-0.0004959946218156808,0.0004959946218156808
insolation_flux_earth,-7.976967212939348e-05,7.976967212939348e-05
stellar_teff_k,-2.5766838491772387e-05,2.5766838491772387e-05
transit_depth_ppm,-6.663969236073899e-06,6.663969236073899e-06
